,date,prcp
801,2016-12-28,0.09
802,2016-12-28,0.01
803,2016-12-28,
804,2016-12-28,0.06
805,2016-12-28,0.09
806,2016-12-28,0.14
807,2016-12-29,0.04
808,2016-12-29,0.18
809,2016-12-29,0.56
810,2016-12-29,
811,2016-12-29,0.05
812,2016-12-29,0.52
813,2016-12-29,1.03
814,2016-12-30,0.12
815,2016-12-30,0.21
816,2016-12-30,0.29
817,2016-12-30,
818,2016-12-30,0.07
819,2016-12-30,0.29
820,2016-12-30,2.37
821,2016-12-31,0.01
822,2016-12-31,0.62
823,2016-12-31,0.36
824,2016-12-31,0.25
825,2016-12-31,0.9
826,2017-01-01,0.0
827,2017-01-01,0.29
828,2017-01-01,0.0
829,2017-01-01,
830,2017-01-01,0.03
831,2017-01-01,0.03
832,2017-01-02,0.0
833,2017-01-02,0.0
834,2017-01-02,0.01
835,2017-01-02,0.01
836,2017-01-02,0.0
837,2017-01-03,0.0
838,2017-01-03,0.0
839,2017-01-03,0.0
840,2017-01-03,
841,2017-01-03,0.0
842,2017-01-03,0.0
843,2017-01-04,0.0
844,2017-01-04,0.0
845,2017-01-04,0.0
846,2017-01-04,0.18
847,2017-01-04,0.0
848,2017-01-04,0.0
849,2017-01-05,0.0
850,2017-01-05,0.0
851,2017-01-05,0.0
852,2017-01-05,0.42
853,2017-01-05,0.06
854,2017-01-05,0.47
855,2017-01-06,0.0
856,2017-01-06,0.0
857,2017-01-06,0.59
858,2017-01-06,0.01
859,2017-01-06,0.1
860,2017-01-06,0.1
861,2017-01-07,0.0
862,2017-01-07,0.06
863,2017-01-07,0.0
864,2017-01-07,0.0
865,2017-01-07,0.0
866,2017-01-07,0.0
867,2017-01-08,0.0
868,2017-01-08,0.0
869,2017-01-08,0.03
870,2017-01-08,0.0
871,2017-01-08,0.0
872,2017-01-08,0.03
873,2017-01-09,0.0
874,2017-01-09,0.0
875,2017-01-09,0.0
876,2017-01-09,
877,2017-01-09,0.0
878,2017-01-09,0.0
879,2017-01-09,0.0
880,2017-01-10,0.0
881,2017-01-10,0.0
882,2017-01-10,0.0
883,2017-01-10,
884,2017-01-10,0.0
885,2017-01-10,0.0
886,2017-01-10,0.0
887,2017-01-11,0.0
888,2017-01-11,0.0
889,2017-01-11,0.0
890,2017-01-11,
891,2017-01-11,0.0
892,2017-01-11,0.0
893,2017-01-12,0.0
894,2017-01-12,0.0
895,2017-01-12,
896,2017-01-12,
897,2017-01-12,0.0
898,2017-01-12,0.0
899,2017-01-13,0.0
900,2017-01-13,0.0
901,2017-01-13,
902,2017-01-13,
903,2017-01-13,0.0
904,2017-01-13,0.0
905,2017-01-14,0.0
906,2017-01-14,0.0
907,2017-01-14,0.0
908,2017-01-14,0.01
909,2017-01-14,0.0
910,2017-01-15,0.0
911,2017-01-15,0.0
912,2017-01-15,
913,2017-01-15,0.0
914,2017-01-15,0.01
915,2017-01-16,0.0
916,2017-01-16,0.0
917,2017-01-16,
918,2017-01-16,0.0
919,2017-01-16,0.0
920,2017-01-16,0.0
921,2017-01-17,0.0
922,2017-01-17,0.0
923,2017-01-17,0.0
924,2017-01-17,0.0
925,2017-01-17,0.0
926,2017-01-17,0.0
927,2017-01-18,0.0
928,2017-01-18,0.0
929,2017-01-18,0.0
930,2017-01-18,0.0
931,2017-01-18,
932,2017-01-18,0.0
933,2017-01-18,0.07
934,2017-01-19,0.0
935,2017-01-19,0.0
936,2017-01-19,0.0
937,2017-01-19,
938,2017-01-19,0.0
939,2017-01-19,0.02
940,2017-01-19,0.0
941,2017-01-20,0.0
942,2017-01-20,0.0
943,2017-01-20,0.0
944,2017-01-20,
945,2017-01-20,0.0
946,2017-01-20,0.0
947,2017-01-20,0.0
948,2017-01-21,0.0
949,2017-01-21,0.04
950,2017-01-21,0.02
951,2017-01-21,0.11
952,2017-01-21,0.03
